run_id,status,dur_p1_spa_to_ctrl_send_ms,delay_ctrl_spa_proc_ms,dur_p1_mtls_to_ctrl_ms,dur_p1_auth_req_reply_ms,dur_p1_save_creds_ms,delay_gw_setup_sync_ms,dur_p2_spa_to_gw_send_ms,delay_gw_spa_proc_ms,dur_p2_mtls_to_gw_ms,total_attempt_duration_ms,calc_total_setup_if_success_ms
30,SUCCESS,0.136486254632473,10.0,9.391704574227333,375.8597644045949,0.7039671763777733,10.0,0.1588147133588791,10.0,9.161096066236496,426.0369772091508,425.41183318942785
31,SUCCESS,0.12857932597398758,10.0,7.523820735514164,596.7682087793946,0.7483754307031631,10.0,0.13912934809923172,10.0,7.303108461201191,643.176187761128,642.6112220808864
32,SUCCESS,0.1281173899769783,10.0,6.674572825431824,925.8867995813489,0.649220310151577,10.0,0.17201807349920273,10.0,8.436307311058044,972.6617522537708,971.9470354914665
33,SUCCESS,0.14425348490476608,10.0,6.616714410483837,470.67645844072104,0.7882537320256233,10.0,0.1548435539007187,10.0,8.77953041344881,517.8587222471833,517.1600540354848
34,SUCCESS,0.13274606317281723,10.0,6.937624886631966,629.3393895030022,0.8035032078623772,10.0,0.1658964902162552,10.0,10.049236938357353,678.1169157475233,677.4283970892429
35,SUCCESS,0.1326063647866249,10.0,6.8414295092225075,522.6628258824348,0.7333215326070786,10.0,0.12620165944099426,10.0,8.837942965328693,569.9232751503587,569.3343279138207
36,SUCCESS,0.1318482682108879,10.0,6.902317516505718,622.0827428624034,1.0648230090737343,10.0,0.19124895334243774,10.0,10.544359683990479,671.6624666005373,670.9173402935266
37,SUCCESS,0.1278221607208252,10.0,6.876359693706036,464.8996954783797,0.7167737931013107,10.0,0.14576222747564316,10.0,7.259109057486057,510.65731793642044,510.0255224108696
38,SUCCESS,0.12485310435295105,10.0,6.736342795193195,551.8136592581868,0.6201844662427902,10.0,0.33813994377851486,10.0,8.183076977729797,598.4059907495975,597.8162565454841
39,SUCCESS,0.1359088346362114,10.0,8.347255177795887,598.0276400223374,0.7263356819748878,10.0,0.14445558190345764,10.0,1026.2828171253204,1664.3019281327724,1663.6644124239683
40,SUCCESS,0.14262180775403976,10.0,6.9200946018099785,645.107839256525,0.7756790146231651,10.0,0.1539299264550209,10.0,8.212539367377758,691.9364212080836,691.312703974545
41,SUCCESS,0.13030227273702621,10.0,6.762422621250153,363.2565177977085,0.646970234811306,10.0,0.1660110428929329,10.0,8.509624749422073,410.16162279993296,409.471848718822
42,SUCCESS,0.13144034892320633,10.0,7.330951280891895,474.3227604776621,0.7112007588148117,10.0,0.21868757903575897,10.0,8.359970524907112,521.7118179425597,521.0750109702349
43,SUCCESS,0.1330804079771042,10.0,8.094311691820621,742.9782655090094,0.7544476538896561,10.0,0.14916062355041504,10.0,10.317971929907799,793.0545350536704,792.427237816155
44,SUCCESS,0.13541337102651596,10.0,7.314021699130535,666.7394107207656,0.8787941187620163,10.0,0.1596398651599884,10.0,7.829833775758743,713.7793833389878,713.0571135506034
45,SUCCESS,0.13626087456941605,10.0,6.935577839612961,678.9635270833969,0.8547343313694,10.0,0.12826267629861832,10.0,7.616833783686161,725.2386845648289,724.6351965889335
46,SUCCESS,0.13583432883024216,10.0,28.236184269189835,424.1303149610758,0.7179481908679008,10.0,0.15044212341308594,10.0,7.373189553618431,491.352547891438,490.7439134269953
47,SUCCESS,0.13347994536161423,10.0,7.451150566339493,676.0586351156235,0.6523849442601204,10.0,0.13738963752985,10.0,7.234280928969383,722.2437430173159,721.6673211380839
48,SUCCESS,0.1279003918170929,10.0,6.981262005865574,911.6140976548195,0.5979817360639572,10.0,0.13812724500894547,10.0,7.343282923102379,957.3864359408617,956.8026519566774
49,SUCCESS,0.13259146362543106,10.0,9.42940078675747,501.63452606648207,0.9263651445508003,10.0,0.16016885638237,10.0,9.694206528365612,552.6869390159845,551.9772588461637
50,SUCCESS,0.1606978476047516,10.0,9.723570197820663,644.6999786421657,0.9210500866174698,10.0,0.14123693108558655,10.0,8.924140594899654,695.2877305448055,694.5706743001938
51,SUCCESS,0.1279059797525406,10.0,9.943387471139431,667.293818667531,0.8915970101952553,10.0,0.13825949281454086,10.0,8.256876841187477,717.2881560400128,716.6518454626203
52,SUCCESS,0.12431573122739792,10.0,10.064860805869102,811.6067834198475,0.6884383037686348,10.0,0.16367342323064804,10.0,9.62305348366499,862.9399295896292,862.2711251676083
53,SUCCESS,0.14425627887248993,10.0,9.279199875891209,811.0216306522489,0.6680618971586227,10.0,0.1460770145058632,10.0,9.114587679505348,860.9705558046699,860.3738133981824
54,SUCCESS,0.13214629143476486,10.0,6.846688687801361,847.7766932919621,0.7013604044914246,10.0,0.13125408440828323,10.0,1061.6848850622773,1947.9032028466463,1947.2730278223753
55,SUCCESS,0.12488570064306259,10.0,7.4631813913583755,557.3873044922948,0.6940765306353569,10.0,0.1367330551147461,10.0,8.664349094033241,605.1342906430364,604.4705302640796
56,SUCCESS,0.13777054846286774,10.0,7.4751116335392,612.9610883072019,0.6932243704795837,10.0,0.13729464262723923,10.0,7.27133359760046,659.254539757967,658.6758230999112
57,SUCCESS,0.14119502156972885,10.0,8.048847317695618,455.47559671103954,0.6793951615691185,10.0,0.17133355140686035,10.0,9.222188964486122,504.3830880895257,503.738556727767
58,SUCCESS,0.1273900270462036,10.0,6.88587874174118,1423.1613343581557,0.6296224892139435,10.0,0.12263096868991852,10.0,8.941898122429848,1470.450334250927,1469.8687547072768
59,SUCCESS,0.12866687029600143,10.0,6.958727724850178,499.1069072857499,0.6844541057944298,10.0,0.12485682964324951,10.0,8.234159089624882,545.7680094987154,545.2377719059587
60,SUCCESS,0.12418627738952637,10.0,6.835082545876503,617.3779238015413,0.8484860882163048,10.0,0.17849169671535492,10.0,7.220695726573467,663.2442390546203,662.5848661363125
61,SUCCESS,0.13688579201698303,10.0,7.071346044540405,603.5945694893599,0.7536765187978745,10.0,0.15628058463335037,10.0,7.50355888158083,649.8451242223382,649.2163173109293
62,SUCCESS,0.13377703726291656,10.0,7.41773284971714,978.2079728320241,0.5696620792150497,10.0,0.12843124568462372,10.0,7.327280007302761,1024.3249563500285,1023.7848560512066
63,SUCCESS,0.13506505638360977,10.0,7.208210416138172,1173.3599668368697,0.7408792153000832,10.0,0.13511814177036285,10.0,7.48888123780489,1219.6446526795626,1219.0681209042668
64,SUCCESS,0.1347959041595459,10.0,6.9793956354260445,1139.7323226556182,0.690411776304245,10.0,0.1280084252357483,10.0,8.641648106276989,1186.867082491517,1186.3065825030208
65,SUCCESS,0.1386171206831932,10.0,7.20785278826952,1102.0361054688692,0.6952527910470963,10.0,0.13957824558019638,10.0,1047.6063983514905,2188.452849164605,2187.8238047659397
66,SUCCESS,0.13647973537445068,10.0,10.50826720893383,461.5401942282915,0.9055407717823982,10.0,0.1487666741013527,10.0,8.783931843936443,512.6791270449758,512.02318046242
67,SUCCESS,0.14224927872419357,10.0,9.855955839157104,519.5008730515838,0.6890054792165756,10.0,0.1659272238612175,10.0,10.616632178425789,571.6124642640352,570.9706430509686
